[Sun Apr 16 18:57:46 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:46 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:46 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:47 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was increased by 10.000000 km, now its 20.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 0.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
[Sun Apr 16 18:57:48 CEST 2023][ LocomotiveHead@info ] > Speed was decreased by 10.000000 km, now its 10.000000 km/h
